QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
38352-57439,38352-38791,38352-80001,38352-29253,38352-60858,38352-26610,38352-33076,38352-53303,38352-12547
38352-63115,38352-40687,38352-72731,38352-28573,38352-24641,38352-40669,38352-25011,38352-25837,38352-12533
38352-6589,38352-64401,38352-42104,38352-60910,38352-44449,38352-22288,38352-39793,38352-39280,38352-12528
38352-6498,38352-62497,38352-27441,38352-55987,38352-45889,38352-29685,38352-33557,38352-6703,38352-12541
38352-38435,38352-64119,38352-52922,38352-7859,38352-54244,38352-6883,38352-41872,38352-30447,38352-12555
38352-6498,38352-38791,38352-80001,38352-24641,38352-40669,38352-60858,38352-33076,38352-53303,38352-12547
38352-57439,38352-40687,38352-72731,38352-28573,38352-29253,38352-26610,38352-25011,38352-27441,38352-12528
38352-63115,38352-64401,38352-42104,38352-55987,38352-44449,38352-22288,38352-39793,38352-6703,38352-12533
38352-38435,38352-39280,38352-62497,38352-45889,38352-7859,38352-60910,38352-33557,38352-25837,38352-12541
38352-6589,38352-64119,38352-52922,38352-16606,38352-54244,38352-6883,38352-41872,38352-30989,38352-12555
38352-57439,38352-40687,38352-27441,38352-29253,38352-40669,38352-60858,38352-33076,38352-53303,38352-12547
38352-6498,38352-38791,38352-64401,38352-24641,38352-26610,38352-6883,38352-25011,38352-80001,38352-12528
38352-63115,38352-42104,38352-72731,38352-28573,38352-55987,38352-22288,38352-33557,38352-25837,38352-12533
38352-6589,38352-39280,38352-62497,38352-45889,38352-54244,38352-60910,38352-39793,38352-6703,38352-12541
38352-38435,38352-64119,38352-52922,38352-29685,38352-39716,38352-44449,38352-41872,38352-30447,38352-12555
38352-6498,38352-64401,38352-80001,38352-55987,38352-60858,38352-26610,38352-33076,38352-53303,38352-12547
38352-63115,38352-38791,38352-40687,38352-29253,38352-24641,38352-40669,38352-25011,38352-6703,38352-12533
38352-57439,38352-42104,38352-27441,38352-28573,38352-44449,38352-22288,38352-39793,38352-25837,38352-12528
38352-6589,38352-39280,38352-64119,38352-45889,38352-60910,38352-6883,38352-41872,38352-72731,38352-12541
38352-38435,38352-52922,38352-62497,38352-16606,38352-7859,38352-54244,38352-33557,38352-30989,38352-12555
